2024-03-10 14:30:44 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: ActuatorHttpExchangesConfiguration$$SpringCGLIB$$0.httpTraceRepository() with arguments: []
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy150.findById() with arguments: [1]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy150.findById() with response: {"empty":false,"present":true}
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy153.saveAll() with arguments: [[{"loanNumber":0,"startDt":1602518400000,"loanType":"Home","totalLoan":200000,"amountPaid":50000,"outstandingAmount":150000,"createDt":null},{"loanNumber":0,"startDt":1591372800000,"loanType":"Vehicle","totalLoan":40000,"amountPaid":10000,"outstandingAmount":30000,"createDt":null},{"loanNumber":0,"startDt":1518537600000,"loanType":"Home","totalLoan":50000,"amountPaid":10000,"outstandingAmount":40000,"createDt":null},{"loanNumber":0,"startDt":1518537600000,"loanType":"Personal","totalLoan":10000,"amountPaid":3500,"outstandingAmount":6500,"createDt":null}]]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy153.saveAll() with response: [{"loanNumber":1,"startDt":1602518400000,"loanType":"Home","totalLoan":200000,"amountPaid":50000,"outstandingAmount":150000,"createDt":null},{"loanNumber":2,"startDt":1591372800000,"loanType":"Vehicle","totalLoan":40000,"amountPaid":10000,"outstandingAmount":30000,"createDt":null},{"loanNumber":3,"startDt":1518537600000,"loanType":"Home","totalLoan":50000,"amountPaid":10000,"outstandingAmount":40000,"createDt":null},{"loanNumber":4,"startDt":1518537600000,"loanType":"Personal","totalLoan":10000,"amountPaid":3500,"outstandingAmount":6500,"createDt":null}]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy150.findById() with arguments: [1]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy150.findById() with response: {"empty":false,"present":true}
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy151.saveAll() with arguments: [[{"cardId":0,"cardNumber":"4565XXXX4656","cardType":"Credit","totalLimit":10000,"amountUsed":500,"availableAmount":9500,"createDt":1710052251810},{"cardId":0,"cardNumber":"3455XXXX8673","cardType":"Credit","totalLimit":7500,"amountUsed":600,"availableAmount":6900,"createDt":1710052251810},{"cardId":0,"cardNumber":"2359XXXX9346","cardType":"Credit","totalLimit":20000,"amountUsed":4000,"availableAmount":16000,"createDt":1710052251810}]]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy151.saveAll() with response: [{"cardId":1,"cardNumber":"4565XXXX4656","cardType":"Credit","totalLimit":10000,"amountUsed":500,"availableAmount":9500,"createDt":1710052251810},{"cardId":2,"cardNumber":"3455XXXX8673","cardType":"Credit","totalLimit":7500,"amountUsed":600,"availableAmount":6900,"createDt":1710052251810},{"cardId":3,"cardNumber":"2359XXXX9346","cardType":"Credit","totalLimit":20000,"amountUsed":4000,"availableAmount":16000,"createDt":1710052251810}]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy157.saveAll() with arguments: [[{"noticeId":0,"noticeSummary":"Home Loan Interest rates reduced","noticeDetails":"Home loan interest rates are reduced as per the government guidelines. The updated rates will be effective immediately","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":0,"noticeSummary":"Net Banking Offers","noticeDetails":"Customers who will opt for Internet banking while opening a saving account will get a $50 amazon voucher","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":0,"noticeSummary":"Mobile App Downtime","noticeDetails":"The mobile application of the EazyBank will be down from 2AM-5AM on 12/05/2020 due to maintenance activities","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":0,"noticeSummary":"E Auction notice","noticeDetails":"There will be an e-auction on 12/08/2020 on the Bank website for all the stubborn arrears. Interested parties can participate in the e-auction","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":0,"noticeSummary":"Launch of Pioneer Generation Cards","noticeDetails":"Pioneer Generation Credit Cards are launched for the premium customers of Bank Duit. With these cards, you will get a 5% cashback for each purchase","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":0,"noticeSummary":"COVID-19 Insurance","noticeDetails":"Bank Duit launched an insurance policy which will cover COVID-19 expenses. Please reach out to the branch for more details","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null}]]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy157.saveAll() with response: [{"noticeId":1,"noticeSummary":"Home Loan Interest rates reduced","noticeDetails":"Home loan interest rates are reduced as per the government guidelines. The updated rates will be effective immediately","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":2,"noticeSummary":"Net Banking Offers","noticeDetails":"Customers who will opt for Internet banking while opening a saving account will get a $50 amazon voucher","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":3,"noticeSummary":"Mobile App Downtime","noticeDetails":"The mobile application of the EazyBank will be down from 2AM-5AM on 12/05/2020 due to maintenance activities","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":4,"noticeSummary":"E Auction notice","noticeDetails":"There will be an e-auction on 12/08/2020 on the Bank website for all the stubborn arrears. Interested parties can participate in the e-auction","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":5,"noticeSummary":"Launch of Pioneer Generation Cards","noticeDetails":"Pioneer Generation Credit Cards are launched for the premium customers of Bank Duit. With these cards, you will get a 5% cashback for each purchase","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":6,"noticeSummary":"COVID-19 Insurance","noticeDetails":"Bank Duit launched an insurance policy which will cover COVID-19 expenses. Please reach out to the branch for more details","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null}]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: TestDataGenerator.run() with response: null
2024-03-10 14:31:36 [http-nio-8080-exec-1] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: AuthController.user() with arguments: [{"authorities":[],"details":{"remoteAddress":"0:0:0:0:0:0:0:1","sessionId":null},"authenticated":true,"principal":{"password":null,"username":"user","authorities":[],"accountNonExpired":true,"accountNonLocked":true,"credentialsNonExpired":true,"enabled":true},"credentials":null,"name":"user"}]
2024-03-10 14:31:36 [http-nio-8080-exec-1] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: AuthController.user() with response: {"authorities":[],"details":{"remoteAddress":"0:0:0:0:0:0:0:1","sessionId":null},"authenticated":true,"principal":{"password":null,"username":"user","authorities":[],"accountNonExpired":true,"accountNonLocked":true,"credentialsNonExpired":true,"enabled":true},"credentials":null,"name":"user"}
2024-03-10 14:31:37 [http-nio-8080-exec-3] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: AuthController.home() with arguments: []
2024-03-10 14:31:37 [http-nio-8080-exec-3] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: AuthController.home() with response: {"id":"39facdbc-2bca-474d-b896-d826ed9ac7ef","content":"You are authenticated!"}
2024-03-10 14:31:37 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: AuthController.home() with arguments: []
2024-03-10 14:31:37 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: AuthController.home() with response: {"id":"b5d01245-1c70-43d9-b5c2-872b53e785d3","content":"You are authenticated!"}
2024-03-10 14:34:10 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: NoticesController.getNotices() with arguments: [null]
2024-03-10 14:34:10 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy157.findAllActiveNotices() with arguments: []
2024-03-10 14:34:10 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy157.findAllActiveNotices() with response: [{"noticeId":1,"noticeSummary":"Home Loan Interest rates reduced","noticeDetails":"Home loan interest rates are reduced as per the government guidelines. The updated rates will be effective immediately","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":2,"noticeSummary":"Net Banking Offers","noticeDetails":"Customers who will opt for Internet banking while opening a saving account will get a $50 amazon voucher","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":3,"noticeSummary":"Mobile App Downtime","noticeDetails":"The mobile application of the EazyBank will be down from 2AM-5AM on 12/05/2020 due to maintenance activities","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":4,"noticeSummary":"E Auction notice","noticeDetails":"There will be an e-auction on 12/08/2020 on the Bank website for all the stubborn arrears. Interested parties can participate in the e-auction","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":5,"noticeSummary":"Launch of Pioneer Generation Cards","noticeDetails":"Pioneer Generation Credit Cards are launched for the premium customers of Bank Duit. With these cards, you will get a 5% cashback for each purchase","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":6,"noticeSummary":"COVID-19 Insurance","noticeDetails":"Bank Duit launched an insurance policy which will cover COVID-19 expenses. Please reach out to the branch for more details","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null}]
2024-03-10 14:34:10 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: NoticesController.getNotices() with response: {"headers":{"Cache-Control":["max-age=60"]},"body":[{"noticeId":1,"noticeSummary":"Home Loan Interest rates reduced","noticeDetails":"Home loan interest rates are reduced as per the government guidelines. The updated rates will be effective immediately","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":2,"noticeSummary":"Net Banking Offers","noticeDetails":"Customers who will opt for Internet banking while opening a saving account will get a $50 amazon voucher","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":3,"noticeSummary":"Mobile App Downtime","noticeDetails":"The mobile application of the EazyBank will be down from 2AM-5AM on 12/05/2020 due to maintenance activities","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":4,"noticeSummary":"E Auction notice","noticeDetails":"There will be an e-auction on 12/08/2020 on the Bank website for all the stubborn arrears. Interested parties can participate in the e-auction","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":5,"noticeSummary":"Launch of Pioneer Generation Cards","noticeDetails":"Pioneer Generation Credit Cards are launched for the premium customers of Bank Duit. With these cards, you will get a 5% cashback for each purchase","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null},{"noticeId":6,"noticeSummary":"COVID-19 Insurance","noticeDetails":"Bank Duit launched an insurance policy which will cover COVID-19 expenses. Please reach out to the branch for more details","noticBegDt":1706112000000,"noticEndDt":1711296000000,"createDt":1710052251827,"updateDt":null}],"statusCode":"OK","statusCodeValue":200}
2024-03-10 14:36:47 [http-nio-8080-exec-7] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: ContactController.saveContactInquiryDetails() with arguments: [{"contactId":null,"contactName":"小的","contactEmail":"smallguy@email.com","subject":"diam lailai ","message":"Hi ... Thanks for sgaring... love your sugfestions... pls show us","createDt":null}]
2024-03-10 14:36:47 [http-nio-8080-exec-7] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy152.save() with arguments: [{"contactId":"SR210420041","contactName":"小的","contactEmail":"smallguy@email.com","subject":"diam lailai ","message":"Hi ... Thanks for sgaring... love your sugfestions... pls show us","createDt":1710052607253}]
2024-03-10 14:36:47 [http-nio-8080-exec-7] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy152.save() with response: {"contactId":"SR210420041","contactName":"小的","contactEmail":"smallguy@email.com","subject":"diam lailai ","message":"Hi ... Thanks for sgaring... love your sugfestions... pls show us","createDt":1710052607253}
2024-03-10 14:36:47 [http-nio-8080-exec-7] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: ContactController.saveContactInquiryDetails() with response: {"contactId":"SR210420041","contactName":"小的","contactEmail":"smallguy@email.com","subject":"diam lailai ","message":"Hi ... Thanks for sgaring... love your sugfestions... pls show us","createDt":1710052607253}
2024-03-10 14:39:11 [http-nio-8080-exec-1] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: ContactController.saveContactInquiryDetails() with arguments: [{"contactId":null,"contactName":"Victoria Principal","contactEmail":"victoria@example.com","subject":"Enquiry on Interest","message":"What is the interest rate for a Savings Account?","createDt":null}]
2024-03-10 14:39:11 [http-nio-8080-exec-1] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy152.save() with arguments: [{"contactId":"SR871225399","contactName":"Victoria Principal","contactEmail":"victoria@example.com","subject":"Enquiry on Interest","message":"What is the interest rate for a Savings Account?","createDt":1710052751038}]
2024-03-10 14:39:11 [http-nio-8080-exec-1] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy152.save() with response: {"contactId":"SR871225399","contactName":"Victoria Principal","contactEmail":"victoria@example.com","subject":"Enquiry on Interest","message":"What is the interest rate for a Savings Account?","createDt":1710052751038}
2024-03-10 14:39:11 [http-nio-8080-exec-1] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: ContactController.saveContactInquiryDetails() with response: {"contactId":"SR871225399","contactName":"Victoria Principal","contactEmail":"victoria@example.com","subject":"Enquiry on Interest","message":"What is the interest rate for a Savings Account?","createDt":1710052751038}
2024-03-10 14:39:29 [http-nio-8080-exec-3] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: AccountController.getAccountDetails() with arguments: [1]
2024-03-10 14:39:29 [http-nio-8080-exec-3] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy148.findByCustomerId() with arguments: [1]
2024-03-10 14:39:29 [http-nio-8080-exec-3] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy148.findByCustomerId() with response: {"accountNumber":"ACC-HL6246","customer":{"id":1,"name":"Happy","email":"happy@example.com","mobileNumber":"9876548337","role":"admin","createDt":1710052251328,"cards":[{"cardId":1,"cardNumber":"4565XXXX4656","cardType":"Credit","totalLimit":10000,"amountUsed":500,"availableAmount":9500,"createDt":1710052251810},{"cardId":2,"cardNumber":"3455XXXX8673","cardType":"Credit","totalLimit":7500,"amountUsed":600,"availableAmount":6900,"createDt":1710052251810},{"cardId":3,"cardNumber":"2359XXXX9346","cardType":"Credit","totalLimit":20000,"amountUsed":4000,"availableAmount":16000,"createDt":1710052251810}],"loans":[{"loanNumber":1,"startDt":1602518400000,"loanType":"Home","totalLoan":200000,"amountPaid":50000,"outstandingAmount":150000,"createDt":null},{"loanNumber":2,"startDt":1591372800000,"loanType":"Vehicle","totalLoan":40000,"amountPaid":10000,"outstandingAmount":30000,"createDt":null},{"loanNumber":3,"startDt":1518537600000,"loanType":"Home","totalLoan":50000,"amountPaid":10000,"outstandingAmount":40000,"createDt":null},{"loanNumber":4,"startDt":1518537600000,"loanType":"Personal","totalLoan":10000,"amountPaid":3500,"outstandingAmount":6500,"createDt":null}]},"accountType":"SAVINGS","branchAddress":"123 Main Street, New York","createDt":"2024-03-10","balance":0}
2024-03-10 14:39:29 [http-nio-8080-exec-3] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: AccountController.getAccountDetails() with response: {"accountNumber":"ACC-HL6246","customer":{"id":1,"name":"Happy","email":"happy@example.com","mobileNumber":"9876548337","role":"admin","createDt":1710052251328,"cards":[{"cardId":1,"cardNumber":"4565XXXX4656","cardType":"Credit","totalLimit":10000,"amountUsed":500,"availableAmount":9500,"createDt":1710052251810},{"cardId":2,"cardNumber":"3455XXXX8673","cardType":"Credit","totalLimit":7500,"amountUsed":600,"availableAmount":6900,"createDt":1710052251810},{"cardId":3,"cardNumber":"2359XXXX9346","cardType":"Credit","totalLimit":20000,"amountUsed":4000,"availableAmount":16000,"createDt":1710052251810}],"loans":[{"loanNumber":1,"startDt":1602518400000,"loanType":"Home","totalLoan":200000,"amountPaid":50000,"outstandingAmount":150000,"createDt":null},{"loanNumber":2,"startDt":1591372800000,"loanType":"Vehicle","totalLoan":40000,"amountPaid":10000,"outstandingAmount":30000,"createDt":null},{"loanNumber":3,"startDt":1518537600000,"loanType":"Home","totalLoan":50000,"amountPaid":10000,"outstandingAmount":40000,"createDt":null},{"loanNumber":4,"startDt":1518537600000,"loanType":"Personal","totalLoan":10000,"amountPaid":3500,"outstandingAmount":6500,"createDt":null}]},"accountType":"SAVINGS","branchAddress":"123 Main Street, New York","createDt":"2024-03-10","balance":0}
2024-03-10 14:39:42 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: BalanceController.getBalanceDetails() with arguments: [1]
2024-03-10 14:39:42 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy148.findByCustomerId() with arguments: [1]
2024-03-10 14:39:42 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy148.findByCustomerId() with response: {"accountNumber":"ACC-HL6246","customer":{"id":1,"name":"Happy","email":"happy@example.com","mobileNumber":"9876548337","role":"admin","createDt":1710052251328,"cards":[{"cardId":1,"cardNumber":"4565XXXX4656","cardType":"Credit","totalLimit":10000,"amountUsed":500,"availableAmount":9500,"createDt":1710052251810},{"cardId":2,"cardNumber":"3455XXXX8673","cardType":"Credit","totalLimit":7500,"amountUsed":600,"availableAmount":6900,"createDt":1710052251810},{"cardId":3,"cardNumber":"2359XXXX9346","cardType":"Credit","totalLimit":20000,"amountUsed":4000,"availableAmount":16000,"createDt":1710052251810}],"loans":[{"loanNumber":1,"startDt":1602518400000,"loanType":"Home","totalLoan":200000,"amountPaid":50000,"outstandingAmount":150000,"createDt":null},{"loanNumber":2,"startDt":1591372800000,"loanType":"Vehicle","totalLoan":40000,"amountPaid":10000,"outstandingAmount":30000,"createDt":null},{"loanNumber":3,"startDt":1518537600000,"loanType":"Home","totalLoan":50000,"amountPaid":10000,"outstandingAmount":40000,"createDt":null},{"loanNumber":4,"startDt":1518537600000,"loanType":"Personal","totalLoan":10000,"amountPaid":3500,"outstandingAmount":6500,"createDt":null}]},"accountType":"SAVINGS","branchAddress":"123 Main Street, New York","createDt":"2024-03-10","balance":0}
2024-03-10 14:39:42 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy149.findByCustomer_IdOrderByTransactionDtDesc() with arguments: [1]
2024-03-10 14:39:42 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy149.findByCustomer_IdOrderByTransactionDtDesc() with response: [{"transactionId":"55b2f7dc-11d7-4498-8e45-e6dda9d99523","accountNumber":"ACC-HL6246","customer":{"id":1,"name":"Happy","email":"happy@example.com","mobileNumber":"9876548337","role":"admin","createDt":1710052251328,"cards":[{"cardId":1,"cardNumber":"4565XXXX4656","cardType":"Credit","totalLimit":10000,"amountUsed":500,"availableAmount":9500,"createDt":1710052251810},{"cardId":2,"cardNumber":"3455XXXX8673","cardType":"Credit","totalLimit":7500,"amountUsed":600,"availableAmount":6900,"createDt":1710052251810},{"cardId":3,"cardNumber":"2359XXXX9346","cardType":"Credit","totalLimit":20000,"amountUsed":4000,"availableAmount":16000,"createDt":1710052251810}],"loans":[{"loanNumber":1,"startDt":1602518400000,"loanType":"Home","totalLoan":200000,"amountPaid":50000,"outstandingAmount":150000,"createDt":null},{"loanNumber":2,"startDt":1591372800000,"loanType":"Vehicle","totalLoan":40000,"amountPaid":10000,"outstandingAmount":30000,"createDt":null},{"loanNumber":3,"startDt":1518537600000,"loanType":"Home","totalLoan":50000,"amountPaid":10000,"outstandingAmount":40000,"createDt":null},{"loanNumber":4,"startDt":1518537600000,"loanType":"Personal","totalLoan":10000,"amountPaid":3500,"outstandingAmount":6500,"createDt":null}]},"transactionDt":1710000000000,"transactionSummary":"Coffee Shop","transactionType":"Withdrawal","transactionAmt":30,"closingBalance":34500,"createDt":1710000000000}]
2024-03-10 14:39:42 [http-nio-8080-exec-2] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: BalanceController.getBalanceDetails() with response: 30
2024-03-10 14:40:25 [http-nio-8080-exec-6] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: AccountController.depositCash() with arguments: ["ACC-HL6246",300]
2024-03-10 14:40:25 [http-nio-8080-exec-6] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy148.findById() with arguments: ["ACC-HL6246"]
2024-03-10 14:40:25 [http-nio-8080-exec-6] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy148.findById() with response: {"empty":false,"present":true}
2024-03-10 14:40:25 [http-nio-8080-exec-6] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy148.save() with arguments: [{"accountNumber":"ACC-HL6246","customer":{"id":1,"name":"Happy","email":"happy@example.com","mobileNumber":"9876548337","role":"admin","createDt":1710052251328,"cards":[{"cardId":1,"cardNumber":"4565XXXX4656","cardType":"Credit","totalLimit":10000,"amountUsed":500,"availableAmount":9500,"createDt":1710052251810},{"cardId":2,"cardNumber":"3455XXXX8673","cardType":"Credit","totalLimit":7500,"amountUsed":600,"availableAmount":6900,"createDt":1710052251810},{"cardId":3,"cardNumber":"2359XXXX9346","cardType":"Credit","totalLimit":20000,"amountUsed":4000,"availableAmount":16000,"createDt":1710052251810}],"loans":[{"loanNumber":1,"startDt":1602518400000,"loanType":"Home","totalLoan":200000,"amountPaid":50000,"outstandingAmount":150000,"createDt":null},{"loanNumber":2,"startDt":1591372800000,"loanType":"Vehicle","totalLoan":40000,"amountPaid":10000,"outstandingAmount":30000,"createDt":null},{"loanNumber":3,"startDt":1518537600000,"loanType":"Home","totalLoan":50000,"amountPaid":10000,"outstandingAmount":40000,"createDt":null},{"loanNumber":4,"startDt":1518537600000,"loanType":"Personal","totalLoan":10000,"amountPaid":3500,"outstandingAmount":6500,"createDt":null}]},"accountType":"SAVINGS","branchAddress":"123 Main Street, New York","createDt":"2024-03-10","balance":300}]
2024-03-10 14:40:25 [http-nio-8080-exec-6] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy148.save() with response: {"accountNumber":"ACC-HL6246","customer":{"id":1,"name":"Happy","email":"happy@example.com","mobileNumber":"9876548337","role":"admin","createDt":1710052251328,"cards":[{"cardId":1,"cardNumber":"4565XXXX4656","cardType":"Credit","totalLimit":10000,"amountUsed":500,"availableAmount":9500,"createDt":1710052251810},{"cardId":2,"cardNumber":"3455XXXX8673","cardType":"Credit","totalLimit":7500,"amountUsed":600,"availableAmount":6900,"createDt":1710052251810},{"cardId":3,"cardNumber":"2359XXXX9346","cardType":"Credit","totalLimit":20000,"amountUsed":4000,"availableAmount":16000,"createDt":1710052251810}],"loans":[{"loanNumber":1,"startDt":1602518400000,"loanType":"Home","totalLoan":200000,"amountPaid":50000,"outstandingAmount":150000,"createDt":null},{"loanNumber":2,"startDt":1591372800000,"loanType":"Vehicle","totalLoan":40000,"amountPaid":10000,"outstandingAmount":30000,"createDt":null},{"loanNumber":3,"startDt":1518537600000,"loanType":"Home","totalLoan":50000,"amountPaid":10000,"outstandingAmount":40000,"createDt":null},{"loanNumber":4,"startDt":1518537600000,"loanType":"Personal","totalLoan":10000,"amountPaid":3500,"outstandingAmount":6500,"createDt":null}]},"accountType":"SAVINGS","branchAddress":"123 Main Street, New York","createDt":"2024-03-10","balance":300}
2024-03-10 14:40:25 [http-nio-8080-exec-6] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy149.save() with arguments: [{"transactionId":"c3a4e47a-7b22-4511-8830-3b27e0f5cd20","accountNumber":"ACC-HL6246","customer":null,"transactionDt":null,"transactionSummary":"Deposit","transactionType":"Deposit","transactionAmt":300,"closingBalance":300,"createDt":null}]
